vin,make,model,year,body
WBA3N3C50EK2XXXXX,BMW,4 Series,2014,
WBA4F11020D9XXXXX,BMW,4 Series,,
WBA4F11020D9XXXXX,BMW,4,,liftback
WBA3N3C50EK2XXXXX,BMW,4 Series,2014,
WAUZZZ8T39A0XXXXX,Audi,A5,,
WAUZZZ8T39A0XXXXX,Audi,A5,,coupe
WBA3N3C50EK2XXXXX,BMW,428I (USA),,coupe
WBA2C110807AXXXXX,BMW,2 Series,,multi-purpose vehicle
WAUZZZ4M4HD0XXXXX,Audi,Q7,,SUV
WBA5J11050D0XXXXX,BMW,5 Series,,estate
WAUZZZ4M4HD0XXXXX,Audi,,,SUV
WBY2Z21040V3XXXXX,BMW,i8,2016,
WBAJJ11040EFXXXXX,BMW,X Series,,SUV
WBY2Z21040V3XXXXX,BMW,i,,coupe
WAUZZZ4G0BN0XXXXX,Audi,A7,,
WAUZZZ4G0BN0XXXXX,Audi,A7,,
WAUZZZ4G0BN0XXXXX,Audi,A7,,liftback
WBAFW11000DUXXXXX,BMW,5 Series,,
WBA7C21090G8XXXXX,BMW,7 Series,,sedan
WBAFW11000DUXXXXX,BMW,5 Series,,sedan
WAUZZZ8R5FA0XXXXX,Audi,Q5,,
WAUZZZ8R5FA0XXXXX,Audi,Q5,,
WAUZZZ8R5FA0XXXXX,Audi,Q5,,
WBAPP120X0A9XXXXX,BMW,3 Series,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,hatchback
WAUZZZ4L77D0XXXXX,Audi,Q7,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,
WBS41AZ020CJXXXXX,BMW,,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,hatchback
WAUZZZ4L77D0XXXXX,Audi,Q7,,SUV
WBAFW91070DWXXXXX,BMW,5 Series,,sedan
WBA5C31020D0XXXXX,BMW,5 Series,,sedan
WAUZZZ4H1DN0XXXXX,Audi,,2013,
WBA3L32090KTXXXXX,BMW,3 Series,,estate
WBAVM1C58EVWXXXXX,BMW,X1,2014,SUV
WBAVM1C58EVWXXXXX,BMW,X Series,,SUV
WAUZZZ8DZ1A1XXXXX,Audi,A4,,
WAUZZZ8K0CA1XXXXX,Audi,A4,,
WAUZZZ8K0CA1XXXXX,Audi,A4,,
WBA8C51000K8XXXXX,BMW,3 Series,,sedan
WBA5V310X0FHXXXXX,BMW,3 Series,,sedan
WAUZZZF42GA0XXXXX,Audi,A4,,
WAUZZZ4G1GN1XXXXX,Audi,A6,,estate
WAUZZZ8VXEA1XXXXX,Audi,A3,,
WAUZZZ8VXEA1XXXXX,Audi,,,hatchback
WBAJM71090G6XXXXX,BMW,5 Series,,
WBA3D51060F7XXXXX,BMW,3 Series,,sedan
WAUZZZ4H0CN0XXXXX,Audi,A8,,
WAUZZZ4H0CN0XXXXX,Audi,A8,,sedan
WAUZZZ4G3JN0XXXXX,Audi,A6,2018,
WAUZZZ4H0CN0XXXXX,Audi,A8,,sedan
WAUZZZ4G3JN0XXXXX,Audi,A6,,
WAUZZZ4G3JN0XXXXX,Audi,A6,,
WBAWC91000PVXXXXX,BMW,3 Series,,sedan
WBAWC91000PVXXXXX,BMW,3 Series,,
WBAWC91000PVXXXXX,BMW,3 Series,,
WBA1C12060P7XXXXX,BMW,1 Series,,hatchback
WBA1C12060P7XXXXX,BMW,1 Series,,hatchback
WBAWY310800FXXXXX,BMW,X3,,crossover
WAUZZZ8P27A1XXXXX,Audi,A3,,
WAUZZZ8P27A1XXXXX,Audi,A3,,
WAUZZZ8P27A1XXXXX,Audi,A3,2007,
WAUZZZ8P27A1XXXXX,Audi,A3,,hatchback
WAUZZZ4M4KD0XXXXX,Audi,Q7,,
WAUZZZ4M4KD0XXXXX,Audi,Q7,,SUV
WBAMX11000DUXXXXX,BMW,5 Series,,estate
WAUZZZF45GA0XXXXX,Audi,A4,2016,
WBAVC11070VEXXXXX,BMW,3 Series,,
WBAWE71060PVXXXXX,BMW,3 Series,,coupe
WAUZZZF45GA0XXXXX,Audi,A4,,
WAUZZZF45GA0XXXXX,Audi,A4,,
WBAVC11070VEXXXXX,BMW,3 Series,,sedan
WAUZZZF45GA0XXXXX,Audi,A4,,
WAUZZZ8K4BA1XXXXX,Audi,A4,,
WBA5C91020D4XXXXX,BMW,5 Series,,sedan
WAUZZZ8K4BA1XXXXX,Audi,A4,,
WAUZZZ8T19A0XXXXX,Audi,A5,2009,
WAUZZZ4G6JN0XXXXX,Audi,A6,2018,
WBAKK71020E3XXXXX,BMW,3 Series,,
WAUZZZ4G6JN0XXXXX,Audi,A6,,
WAUZZZ4G6JN0XXXXX,Audi,A6,,estate
WAUZZZ4G6JN0XXXXX,Audi,A6,,
WBA3N51080F7XXXXX,BMW,4,,coupe
WBAKK71020E3XXXXX,BMW,3 Series,,
WBAKK71020E3XXXXX,BMW,3 Series,,coupe
WAUZZZ8T69A0XXXXX,Audi,A5,2009,
WBAVC51060VDXXXXX,BMW,3 Series,,
WBAFF41050L1XXXXX,BMW,X Series,,SUV
WAUZZZ8X7BB1XXXXX,Audi,A1,,
WAUZZZ8X7BB1XXXXX,Audi,A1,,
WAUZZZ8X7BB1XXXXX,Audi,A1,,hatchback
WBAVC51060VDXXXXX,BMW,3 Series,,sedan
WAUZZZ8VXE10XXXXX,Audi,,2014,
WBANJ31030CPXXXXX,BMW,5 Series,,estate
WBAWY710900BXXXXX,BMW,X Series,,SUV
WBA5J31000D7XXXXX,BMW,5 Series,,
WAUZZZF48LA0XXXXX,Audi,A4,,
WBAXB31000C5XXXXX,BMW,5 Series,,estate
WAUZZZF48LA0XXXXX,Audi,A4,,
WBA5J31000D7XXXXX,BMW,5 Series,,estate
WAUZZZ4F96N0XXXXX,Audi,A6,,sedan
WAUZZZ4G5CN0XXXXX,Audi,,,
WAUZZZ4F96N0XXXXX,Audi,A6,,
WAUZZZ4F96N0XXXXX,Audi,A6,,
WAUZZZ8T48A0XXXXX,Audi,A5,,
WAUZZZ8T48A0XXXXX,Audi,A5,,coupe
TRUZZZ8J7A19XXXXX,Audi,TT,,
TRUZZZ8J7A19XXXXX,Audi,,,
WAUZZZ4F56N0XXXXX,Audi,A6,2006,estate
WBAPY71050CUXXXXX,BMW,5 Series,,
WBA8J11010K6XXXXX,BMW,3 Series,,estate
WBAPY71050CUXXXXX,BMW,5 Series,,estate
WUAZZZF33L19XXXXX,Audi,Q3,,
WUAZZZF33L19XXXXX,Audi,,,SUV
WAUZZZ4F77N0XXXXX,Audi,A6,,
WAUZZZ8T9BA0XXXXX,Audi,A5,,
WAUZZZ8T9BA0XXXXX,Audi,A5,,
WAUZZZ4F77N0XXXXX,Audi,A6,,
WAUZZZ4F77N0XXXXX,Audi,A6,,SUV
WAUZZZ4F77N0XXXXX,Audi,A6,,
WAUZZZ8T9BA0XXXXX,Audi,A5,2011,
WBAGV21000CHXXXXX,BMW,,,sedan
5YMJU0C07M9EXXXXX,BMW,X5,2021,SUV
WBAKM21020C3XXXXX,BMW,7 Series,,
WAUZZZ8X5GB0XXXXX,Audi,A1,,
WBAKM21020C3XXXXX,BMW,7 Series,,sedan
WAUZZZ8X5GB0XXXXX,Audi,A1,,hatchback
WAUZZZ4G1DN0XXXXX,Audi,A6,,
WAUZZZ4G1DN0XXXXX,Audi,A6,,
WAUZZZ8V6DA0XXXXX,Audi,A3,,
WAUZZZ4G1DN0XXXXX,Audi,A6,,sedan
WAUZZZ8V6DA0XXXXX,Audi,,,hatchback
WAUZZZ8P98A1XXXXX,Audi,A3,,
WAUZZZ4G1DN0XXXXX,Audi,A6,,
WBABU51050LWXXXXX,BMW,Z Series,,convertible
WAUZZZ4G1DN0XXXXX,Audi,A6,2013,
WAUZZZF22KN1XXXXX,Audi,,,
WAUZZZ8P98A1XXXXX,Audi,A3,,hatchback
WBAKS41090LEXXXXX,BMW,X Series,,SUV
WBAFW11000C7XXXXX,BMW,5 Series,,
WBAFW11000C7XXXXX,BMW,5 Series,,sedan
WBAWB32050P0XXXXX,BMW,3 Series,,coupe
WBA3E11050F9XXXXX,BMW,3 Series,,sedan
WBAAY31070KPXXXXX,BMW,3 Series,,sedan
WAUZZZ4GXCN0XXXXX,Audi,A6,,
WAUZZZ4L8ED0XXXXX,Audi,Q7,2014,
WAUZZZ4L8ED0XXXXX,Audi,Q7,,
WAUZZZ4L8ED0XXXXX,Audi,Q7,,SUV
WAUZZZ8E25A4XXXXX,Audi,A4,,
WAUZZZ8E25A4XXXXX,Audi,A4,,
WAUZZZ8E25A4XXXXX,Audi,A4,,
WBA5J91050GVXXXXX,BMW,5 Series,,estate
WAUZZZF51LA0XXXXX,Audi,A5,,
WAUZZZF51LA0XXXXX,Audi,A5,,
WBS1H91060V8XXXXX,BMW,2 Series,,
WBS1H91060V8XXXXX,BMW,2 Series,,coupe
WAUZZZF51LA0XXXXX,Audi,A5,,liftback
WAUZZZ8R8EA0XXXXX,Audi,Q5,,
WAUAFAFL1GN0XXXXX,Audi,A4,2015,sedan
WBAPX51080C1XXXXX,BMW,5 Series,,
WAUZZZ8R8EA0XXXXX,Audi,Q5,2014,
WAUZZZ8K1FA1XXXXX,Audi,A4,2015,
WAUZZZ8R8EA0XXXXX,Audi,Q5,,
WBATX31080LBXXXXX,BMW,X Series,,SUV
WAUZZZ8R8EA0XXXXX,Audi,Q5,,
WAUZZZ8R8EA0XXXXX,Audi,Q5,,SUV
WAUZZZ8P8CA0XXXXX,Audi,A3,,hatchback
WAUZZZ8T89A0XXXXX,Audi,A5,,
WAUZZZ8K1FA1XXXXX,Audi,A4,,
WAUZZZ8K1FA1XXXXX,Audi,A4,,
WAUZZZ8K1FA1XXXXX,Audi,A4,,
WAUZZZ8K1FA1XXXXX,Audi,A4,,
WAUZZZ8T89A0XXXXX,Audi,A5,,
WBAPX51080C1XXXXX,BMW,5 Series,,estate
WAUZZZ8T89A0XXXXX,Audi,A5,,coupe
WBAPX51080C1XXXXX,BMW,5 Series,,estate
WAUZZZ8K5DA0XXXXX,Audi,A4,,
WAUZZZ8K2CA0XXXXX,Audi,A4,,
WAUZZZ8K2CA0XXXXX,Audi,A4,,
WAUZZZ8V1LA0XXXXX,Audi,,2020,sedan
WBA5K11040D9XXXXX,BMW,5 Series,,estate
WAUZZZF83JN0XXXXX,Audi,A8,,
WAUZZZF83JN0XXXXX,Audi,A8,,sedan
WAUZZZ8T78A0XXXXX,Audi,A5,,
WAUZZZF52JA0XXXXX,Audi,A5,,
WAUZZZ8T78A0XXXXX,Audi,A5,2008,
WAUZZZF52JA0XXXXX,Audi,A5,,liftback
WAUZZZF8XKN0XXXXX,Audi,A8,,sedan
WBABN51030JTXXXXX,BMW,3 Series,,coupe
WBA7F2C59GG4XXXXX,BMW,7 Series,2016,sedan
X4XKT294100YXXXXX,BMW,X Series,,SUV
WAUZZZ8UXJR0XXXXX,Audi,Q3,2018,
WAUZZZ8UXJR0XXXXX,Audi,Q3,,
WAUZZZ8UXJR0XXXXX,Audi,Q3,,
WAUZZZ4L87D0XXXXX,Audi,Q7,,
WAUZZZ8UXJR0XXXXX,Audi,Q3,,
WAUZZZ8UXJR0XXXXX,Audi,Q3,,SUV
WAUZZZ4L87D0XXXXX,Audi,Q7,,SUV
WBA7C41030G7XXXXX,BMW,7 Series,,
WBA7C41030G7XXXXX,BMW,7 Series,,sedan
WAUZZZ8T68A0XXXXX,Audi,A5,,
WAUZZZ8T68A0XXXXX,Audi,A5,2008,
WBAKH31090E7XXXXX,BMW,3 Series,,
WUAZZZF54JA9XXXXX,Audi,,,coupe
WBAKH31090E7XXXXX,BMW,3 Series,,coupe
WBA6E41090G3XXXXX,BMW,6 Series,,
WBA6E41090G3XXXXX,BMW,640dx (640dx),,
WA1LMAFE8ED0XXXXX,Audi,Q7,2014,
WA1LMAFE8ED0XXXXX,Audi,Q7,,SUV
WA1LMAFE8ED0XXXXX,Audi,Q7,,
WA1LMAFE8ED0XXXXX,Audi,Q7,,
WA1LMAFE8ED0XXXXX,Audi,Q7,2014,
WA1LMAFE8ED0XXXXX,Audi,Q7,,
WAUZZZF20LN0XXXXX,Audi,,,
WA1LMAFE8ED0XXXXX,Audi,Q7,,SUV
WBA4E71040G7XXXXX,BMW,4,,liftback
WBAVC31060VCXXXXX,BMW,3 Series,,
WBAVC31060VCXXXXX,BMW,3 Series,,sedan
WBABY720X0PPXXXXX,BMW,3 Series,,convertible
WBAWY310700AXXXXX,BMW,X3,,SUV
WBAWY310700AXXXXX,BMW,X Series,,SUV
WBAUS91090A1XXXXX,BMW,3 Series,,
WBAUS91090A1XXXXX,BMW,3 Series,,estate
WBATX51060LGXXXXX,BMW,X Series,,SUV
WBAUB91020VCXXXXX,BMW,1 Series,,hatchback
WBAHT510405JXXXXX,BMW,X Series,,SUV
WBS3R91010K4XXXXX,BMW,4 Series,,
WBS3R91010K4XXXXX,BMW,4,,coupe
WAUZZZF52JA0XXXXX,Audi,A5,,
WAUZZZF52JA0XXXXX,Audi,A5,,
WAUZZZF52JA0XXXXX,Audi,A5,,liftback
WBAKM81000CYXXXXX,BMW,7 Series,,sedan
WBAVP11090VRXXXXX,BMW,X Series,,SUV
WAUBFGFF3F10XXXXX,Audi,A3,2015,sedan
WAUZZZ8V2H10XXXXX,Audi,,,sedan
WBAKD71030E4XXXXX,BMW,3 Series,,
WBAKD71030E4XXXXX,BMW,3 Series,,
WAUBFGFF3F10XXXXX,Audi,,,sedan
WBAKD71030E4XXXXX,BMW,3 Series,,coupe
WBAVA71040PRXXXXX,BMW,3 Series,,
WBAVA71040PRXXXXX,BMW,3 Series,,sedan
WAUZZZ8K8EA0XXXXX,Audi,A4,,van
WBANC51020B1XXXXX,BMW,5 Series,,
WAUZZZ8K8EA0XXXXX,Audi,A4,,
WBANC51020B1XXXXX,BMW,5 Series,,sedan
WAUZZZ8K8EA0XXXXX,Audi,A4,,
WBA5E510X0G0XXXXX,BMW,5 Series,,
WAUZZZ8PXBA1XXXXX,Audi,A3,,
WBA5E510X0G0XXXXX,BMW,5 Series,,sedan
WBA5E510X0G0XXXXX,BMW,5 Series,,sedan
WAUZZZ8P69A0XXXXX,Audi,A3,,
WAUZZZ8P69A0XXXXX,Audi,A3,,
WAUZZZ8P69A0XXXXX,Audi,A3,,
WAUZZZ8P69A0XXXXX,Audi,A3,,hatchback
WBAWY51080L8XXXXX,BMW,X Series,,SUV
WAUZZZ8PXBA1XXXXX,Audi,A3,,hatchback
WBACV61080LJXXXXX,BMW,X Series,,SUV
WAUZZZ8V7DA0XXXXX,Audi,A3,,
WAUZZZ8V7DA0XXXXX,Audi,,,hatchback
WAUZZZ8T29A0XXXXX,Audi,A5,,
WBAUY11030F0XXXXX,BMW,3 Series,,
WBAUY11030F0XXXXX,BMW,3 Series,,
WBAUY11030F0XXXXX,BMW,3 Series,,estate
WBAJC31020WBXXXXX,BMW,5 Series,,sedan
WBA3A52080F1XXXXX,BMW,3 Series,,
WBA3A52080F1XXXXX,BMW,3 Series,,
WBABS51050EWXXXXX,BMW,3 Series,,convertible
WBA2F51050V6XXXXX,BMW,2 Series,,
WBA2F51050V6XXXXX,BMW,2 Series,,coupe
WBA3E11030F2XXXXX,BMW,3 Series,,sedan
WAUZZZ8T9AA0XXXXX,Audi,A5,,
WAUZZZ8T9AA0XXXXX,Audi,A5,,hatchback
WAUZZZ8T9AA0XXXXX,Audi,A5,,
WAUZZZ8T9AA0XXXXX,Audi,A5,,
WBAPP31070A9XXXXX,BMW,3 Series,,
WBAPP31070A9XXXXX,BMW,3 Series,2010,sedan
WBAPP31070A9XXXXX,BMW,3 Series,,
WAUZZZ4F77N0XXXXX,Audi,A6,,
WAUZZZ4F77N0XXXXX,Audi,A6,,
WAUZZZ4F77N0XXXXX,Audi,A6,,
WBAPP31070A9XXXXX,BMW,3 Series,,sedan
WBAKM41070CYXXXXX,BMW,7 Series,,sedan
WBAFF41060L1XXXXX,BMW,X5,,
WBAFF41060L1XXXXX,BMW,X5,,
WBAFF41060L1XXXXX,BMW,X5,2009,
WBAFF41060L1XXXXX,BMW,X Series,,SUV
WAUZZZ4G6GN1XXXXX,Audi,A6,,
WAUZZZ4G6GN1XXXXX,Audi,A6,2016,
WAUZZZ4G6GN1XXXXX,Audi,A6,,
WAUZZZ4G6GN1XXXXX,Audi,A6,,
WAUZZZ4G6GN1XXXXX,Audi,A6,,
WBAJC91050B2XXXXX,BMW,5 Series,,sedan
WBAJC91050B2XXXXX,BMW,5 Series,,
WBAJC91050B2XXXXX,BMW,5 Series,,sedan
WBA2E510805EXXXXX,BMW,2 Series,,
WBANX11060CXXXXXX,BMW,5 Series,,sedan
WBA2E510805EXXXXX,BMW,2 Series,,
WBA2E510805EXXXXX,BMW,2 Series,,multi-purpose vehicle
WAUZZZF4XHA0XXXXX,Audi,A4,,
WBA1S92040VDXXXXX,BMW,1 Series,,hatchback
WBAFW12000C8XXXXX,BMW,5 Series,,
WBA3X71040DXXXXXX,BMW,3 Series,,hatchback
WBA5B91000D0XXXXX,BMW,5 Series,,sedan
WBA7C01080G4XXXXX,BMW,7 Series,,sedan
TRUZZZ8NZY10XXXXX,Audi,TT,,
TRUZZZ8NZY10XXXXX,Audi,TT,,
TRUZZZ8NZY10XXXXX,Audi,TT,,
WBAVN31050VKXXXXX,BMW,X Series,,SUV
WBANX51060C0XXXXX,BMW,5 Series,,
WBANX51060C0XXXXX,BMW,5 Series,,sedan
WBANX51060C0XXXXX,BMW,5 Series,,
WBAFW11060C7XXXXX,BMW,5 Series,,sedan
WBSKG91040E3XXXXX,BMW,3 Series,,coupe
WBAKS410900CXXXXX,BMW,X Series,,SUV
WAUZZZ4F08N1XXXXX,Audi,A6,,
WAUZZZ4F08N1XXXXX,Audi,A6,,
WAUZZZ4F08N1XXXXX,Audi,A6,,
TRUC5AFV4J10XXXXX,Audi,TT,,
TRUC5AFV4J10XXXXX,Audi,TT,,coupe
WAUZZZ8T89A0XXXXX,Audi,A5,,crossover
WAUZZZ8T89A0XXXXX,Audi,A5,,
WAUZZZ8T89A0XXXXX,Audi,A5,,coupe
WBA4T320405CXXXXX,BMW,4 Series,,
WBADM11060GPXXXXX,BMW,5 Series,,sedan
WAUZZZ4F45N1XXXXX,Audi,A6,,
WAUZZZ4F45N1XXXXX,Audi,A6,,sedan
WBA5E21040G2XXXXX,BMW,5 Series,,sedan
WAUZZZ8K7DN0XXXXX,Audi,A4,,
WAUZZZ8K7DN0XXXXX,Audi,A4,,sedan
WAUZZZ8K7DN0XXXXX,Audi,A4,,sedan
WBSWD91090PYXXXXX,BMW,3 Series,,
WBSWD91090PYXXXXX,BMW,3 Series,,
WBSWD91090PYXXXXX,BMW,3 Series,,coupe
WBANY71030CTXXXXX,BMW,5 Series,,
WBANY71030CTXXXXX,BMW,5 Series,,sedan
WA1LFAFP9FA1XXXXX,Audi,Q5,2015,
WA1LFAFP9FA1XXXXX,Audi,Q5,,
WBAVR71010KSXXXXX,BMW,3 Series,,estate
WA1LFAFP9FA1XXXXX,Audi,Q5,2015,
WA1LFAFP9FA1XXXXX,Audi,Q5,,SUV
WAUZZZ8T6GA0XXXXX,Audi,A5,2016,
WAUZZZ4G5CN0XXXXX,Audi,A6,2012,
WAUZZZ8T6GA0XXXXX,Audi,A5,,sedan
WAUZZZ8T6GA0XXXXX,Audi,A5,,hatchback
WAUZZZ5GHDCBXXXXX,Audi,,,
WBA5B91030D5XXXXX,BMW,5 Series,,sedan
WAUCFAFR6EA0XXXXX,Audi,A5,2014,
WAUZZZ4LX7D0XXXXX,Audi,Q7,2006,
WAUZZZ4LX7D0XXXXX,Audi,Q7,,
WAUCFAFR6EA0XXXXX,Audi,A5,2014,
WAUZZZ4LX7D0XXXXX,Audi,Q7,,SUV
WAUCFAFR6EA0XXXXX,Audi,A5,,
WAUCFAFR6EA0XXXXX,Audi,A5,,
WAUCFAFR6EA0XXXXX,Audi,A5,,
WAUCFAFR6EA0XXXXX,Audi,A5,,
WAUCFAFR6EA0XXXXX,Audi,A5,,coupe
WBAFV31000DPXXXXX,BMW,5 Series,,sedan
WAUZZZ8V5EA1XXXXX,Audi,A3,2014,
WAUZZZ8V5EA1XXXXX,Audi,A3,,
WAUZZZ8V5EA1XXXXX,Audi,A3,2014,
WBAFV31000DPXXXXX,BMW,5 Series,,sedan
WAUZZZ4G3CN0XXXXX,Audi,A6,,estate
WAUZZZ4G3CN0XXXXX,Audi,A6,,estate
WAUZZZ4G3CN0XXXXX,Audi,,,
WAUZZZ8K8BA0XXXXX,Audi,A4,,
WUAZZZ8P6C19XXXXX,Audi,A3,,
WAUZZZ8K8BA0XXXXX,Audi,A4,,
WAUZZZ8F3CN0XXXXX,Audi,A5,,convertible
WAUZZZ8F3CN0XXXXX,Audi,A5,,
WAUZZZ8K8BA0XXXXX,Audi,A4,,
WUAZZZ8P6C19XXXXX,Audi,rs 7,,hatchback
WAUZZZ8K8BA0XXXXX,Audi,A4,,
WAUZZZ8F3CN0XXXXX,Audi,A5,2012,convertible
WBAWZ510100VXXXXX,BMW,X Series,,SUV
WAUZZZ8K89A0XXXXX,Audi,A4,,
WBA5E510X0G0XXXXX,BMW,5 Series,2015,sedan
WBA5E510X0G0XXXXX,BMW,5 Series,,sedan
WBA5E510X0G0XXXXX,BMW,5 Series,,sedan
WAUZZZ8T18A0XXXXX,Audi,A5,,
WAUZZZ8T18A0XXXXX,Audi,A5,,
WAUZZZ8T18A0XXXXX,Audi,A5,,coupe
WBA7C61070G5XXXXX,BMW,7 Series,,sedan
WBAZW41000L4XXXXX,BMW,X Series,,SUV
WAUZZZ8XXEB1XXXXX,Audi,A1,,
WAUZZZ8XXEB1XXXXX,Audi,A1,,
WAUZZZ8XXEB1XXXXX,Audi,A1,,hatchback
WAUZZZ8K89A0XXXXX,Audi,A4,,
WAUZZZ8K89A0XXXXX,Audi,A4,,
WAUZZZ8VXDA0XXXXX,Audi,,,hatchback
WAUZZZ8VXDA0XXXXX,Audi,A3,,
WAUZZZ4G0FN0XXXXX,Audi,A6,,estate
WAUZZZ4G4EN0XXXXX,Audi,A6,,
WAUZZZ4G4EN0XXXXX,Audi,A6,,
WAUZZZ8E46A2XXXXX,Audi,A4,,
WAUZZZ8E46A2XXXXX,Audi,A4,,
WAUZZZF27KN0XXXXX,Audi,A6,,
WBAMX11050C8XXXXX,BMW,5 Series,,estate
WBAJD11010G4XXXXX,BMW,5 Series,2017,sedan
WBAAP71000PPXXXXX,BMW,3 Series,,
WBAAP71000PPXXXXX,BMW,3 Series,,
WBAJD11010G4XXXXX,BMW,5 Series,,sedan
WBAAP71000PPXXXXX,BMW,3 Series,,
WAUZZZF27KN0XXXXX,Audi,A6,,estate
WBAAP71000PPXXXXX,BMW,3 Series,,estate
WAUZZZF27KN0XXXXX,Audi,,,
WAUZZZ8V7E10XXXXX,Audi,,,sedan
WBABS51090EWXXXXX,BMW,3 Series,,convertible
WBAZW6101075XXXXX,BMW,,,
WAUZZZ8E86A1XXXXX,Audi,A4,,
WBA3E11030F2XXXXX,BMW,3 Series,,
WBA3E11030F2XXXXX,BMW,3 Series,,sedan
WAUZZZ4F79N0XXXXX,Audi,A6,,
WAUZZZ4F79N0XXXXX,Audi,A6,,
WAUZZZ4F79N0XXXXX,Audi,A6,,sedan
WAUZZZ4F79N0XXXXX,Audi,A6,,
WBAGT810909NXXXXX,BMW,,,
WBAPX31010C0XXXXX,BMW,5 Series,,
WBAPX31010C0XXXXX,BMW,5 Series,,
WBS4Y91080ACXXXXX,BMW,4 Series,,
WBS4Y91080ACXXXXX,BMW,4,,coupe
WBAPX31010C0XXXXX,BMW,5 Series,,estate
WBADL71040GMXXXXX,BMW,5 Series,,sedan
WBAKS410100RXXXXX,BMW,X Series,,SUV
WBAUD91020PZXXXXX,BMW,1 Series,,hatchback
WBA1S520105CXXXXX,BMW,1 Series,,hatchback
WBALL51020J4XXXXX,BMW,Z Series,,convertible
WAUZZZF32L10XXXXX,Audi,Q3,,
WAUZZZF32L10XXXXX,Audi,Q3,,SUV
